,precursor_name,updated_precursor_name
1317,PG(17:0_22:4),PG(17:0_22:4)
1318,PG(17:0_22:5),PG(17:0_22:5)
1319,PG(17:0_22:6),PG(17:0_22:6)
1320,PG(18:0_14:0),PG(18:0_14:0)
1321,PG(18:0_16:1),PG(18:0_16:1)
1322,PG(18:0_18:0),PG(18:0_18:0)
1323,PG(18:0_18:1),PG(18:0_18:1)
1324,PG(18:0_18:2),PG(18:0_18:2)
1325,PG(18:0_18:3),PG(18:0_18:3)
1326,PG(18:0_19:0),PG(18:0_19:0)
1327,PG(18:0_20:0),PG(18:0_20:0)
1328,PG(18:0_20:1),PG(18:0_20:1)
1329,PG(18:0_20:2),PG(18:0_20:2)
1330,PG(18:0_20:3),PG(18:0_20:3)
1331,PG(18:0_20:4),PG(18:0_20:4)
1332,PG(18:0_20:5),PG(18:0_20:5)
1333,PG(18:0_22:4),PG(18:0_22:4)
1334,PG(18:0_22:5),PG(18:0_22:5)
1335,PG(18:0_22:6),PG(18:0_22:6)
1336,PG(18:1_16:1),PG(18:1_16:1)
1337,PG(18:1_18:1),PG(18:1_18:1)
1338,PG(18:1_18:2),PG(18:1_18:2)
1339,PG(18:1_18:3),PG(18:1_18:3)
1340,PG(18:1_19:0),PG(18:1_19:0)
1341,PG(18:1_20:0),PG(18:1_20:0)
1342,PG(18:1_20:1),PG(18:1_20:1)
1343,PG(18:1_20:2),PG(18:1_20:2)
1344,PG(18:1_20:3),PG(18:1_20:3)
1345,PG(18:1_20:4),PG(18:1_20:4)
1346,PG(18:1_20:5),PG(18:1_20:5)
1347,PG(18:1_22:4),PG(18:1_22:4)
1348,PG(18:1_22:5),PG(18:1_22:5)
1349,PG(18:1_22:6),PG(18:1_22:6)
1350,PG(18:2_16:1),PG(18:2_16:1)
1351,PG(18:2_18:2),PG(18:2_18:2)
1352,PG(18:2_18:3),PG(18:2_18:3)
1353,PG(18:2_20:0),PG(18:2_20:0)
1354,PG(18:2_20:2),PG(18:2_20:2)
1355,PG(18:2_20:3),PG(18:2_20:3)
1356,PG(18:2_20:4),PG(18:2_20:4)
1357,PG(18:2_20:5),PG(18:2_20:5)
1358,PG(18:2_22:4),PG(18:2_22:4)
1359,PG(18:2_22:5),PG(18:2_22:5)
1360,PG(18:2_22:6),PG(18:2_22:6)
1361,PG(18:3_18:3),PG(18:3_18:3)
1362,PG(18:3_19:0),PG(18:3_19:0)
1363,PG(18:3_20:0),PG(18:3_20:0)
1364,PG(18:3_20:1),PG(18:3_20:1)
1365,PG(18:3_20:2),PG(18:3_20:2)
1366,PG(18:3_20:3),PG(18:3_20:3)
1367,PG(18:3_20:4),PG(18:3_20:4)
1368,PG(18:3_20:5),PG(18:3_20:5)
1369,PG(18:3_22:4),PG(18:3_22:4)
1370,PG(18:3_22:5),PG(18:3_22:5)
1371,PG(18:3_22:6),PG(18:3_22:6)
1372,PG(19:0_19:0),PG(19:0_19:0)
1373,PG(19:0_20:0),PG(19:0_20:0)
1374,PG(19:0_20:1),PG(19:0_20:1)
1375,PG(19:0_20:2),PG(19:0_20:2)
1376,PG(19:0_20:3),PG(19:0_20:3)
1377,PG(19:0_22:4),PG(19:0_22:4)
1378,PG(19:0_22:5),PG(19:0_22:5)
1379,PG(19:0_22:6),PG(19:0_22:6)
1380,PG(20:0_16:1),PG(20:0_16:1)
1381,PG(20:0_18:1),PG(20:0_18:1)
1382,PG(20:0_18:2),PG(20:0_18:2)
1383,PG(20:0_18:3),PG(20:0_18:3)
1384,PG(20:0_20:1),PG(20:0_20:1)
1385,PG(20:0_20:2),PG(20:0_20:2)
1386,PG(20:0_20:3),PG(20:0_20:3)
